---3 Generar una consulta que muestre el total de procesos de la instancia.

"ADDR"	"PID"	"SOSID"	"SPID"	"STID"	"EXECUTION_TYPE"	"PNAME"	"USERNAME"	"SERIAL#"	"TERMINAL"	"PROGRAM"	"TRACEID"	"TRACEFILE"	"BACKGROUND"	"LATCHWAIT"	"LATCHSPIN"	"PGA_USED_MEM"	"PGA_ALLOC_MEM"	"PGA_FREEABLE_MEM"	"PGA_MAX_MEM"	"NUMA_DEFAULT"	"NUMA_CURR"	"CPU_USED"	"CON_ID"
0000000075EF5C58	1	""	""	""	"NONE"	""	""	0	""	"PSEUDO"	""	"/u01/app/oracle/diag/rdbms/jbadip02/jbadip02/trace/jbadip02_ora_0.trc"	""	""	""	0	0	0	0	0	0	0	0
0000000075EF71B8	2	"7664"	"7664"	"7664"	"PROCESS"	"PMON"	"oracle"	1	"UNKNOWN"	"oracle@pc-joba.fi.unam (PMON)"	""	"/u01/app/oracle/diag/rdbms/jbadip02/jbadip02/trace/jbadip02_pmon_7664.trc"	"1"	""	""	1386165	1483525	0	1483525	0	0	224226	0
0000000075EF8718	3	"7666"	"7666"	"7666"	"PROCESS"	"CLMN"	"oracle"	1	"UNKNOWN"	"oracle@pc-joba.fi.unam (CLMN)"	""	"/u01/app/oracle/diag/rdbms/jbadip02/jbadip02/trace/jbadip02_clmn_7666.trc"	"1"	""	""	1386165	1483525	0	1483525	0	0	85154	0
0000000075EF9C78	4	"7668"	"7668"	"7668"	"PROCESS"	"PSP0"	"oracle"	1	"UNKNOWN"	"oracle@pc-joba.fi.unam (PSP0)"	""	"/u01/app/oracle/diag/rdbms/jbadip02/jbadip02/trace/jbadip02_psp0_7668.trc"	"1"	""	""	1369685	1532605	0	1532605	0	0	608199	0
0000000075EFB1D8	5	"7671"	"7671"	"7671"	"PROCESS"	"VKTM"	"oracle"	1	"UNKNOWN"	"oracle@pc-joba.fi.unam (VKTM)"	""	"/u01/app/oracle/diag/rdbms/jbadip02/jbadip02/trace/jbadip02_vktm_7671.trc"	"1"	""	""	1366429	1532605	0	1532605	0	0	45506547	0
0000000075EFC738	6	"7675"	"7675"	"7675"	"PROCESS"	"GEN0"	"oracle"	1	"UNKNOWN"	"oracle@pc-joba.fi.unam (GEN0)"	""	"/u01/app/oracle/diag/rdbms/jbadip02/jbadip02/trace/jbadip02_gen0_7675.trc"	"1"	""	""	1404709	1532605	0	1532605	0	0	159008	0
0000000075EFDC98	7	"7677"	"7677"	"7677"	"PROCESS"	"MMAN"	"oracle"	1	"UNKNOWN"	"oracle@pc-joba.fi.unam (MMAN)"	""	"/u01/app/oracle/diag/rdbms/jbadip02/jbadip02/trace/jbadip02_mman_7677.trc"	"1"	""	""	1369685	1532605	0	1532605	0	0	94111	0
0000000075EFF1F8	8	"7684"	"7684"	"7684"	"PROCESS"	"DIAG"	"oracle"	2	"UNKNOWN"	"oracle@pc-joba.fi.unam (DIAG)"	""	"/u01/app/oracle/diag/rdbms/jbadip02/jbadip02/trace/jbadip02_diag_7684.trc"	"1"	""	""	1366029	1532605	0	1532605	0	0	164252	0
0000000075F00758	9	"7681_7682"	"7681"	"7682"	"THREAD"	"GEN1"	"oracle"	1	"UNKNOWN"	"oracle@pc-joba.fi.unam (GEN1)"	""	"/u01/app/oracle/diag/rdbms/jbadip02/jbadip02/trace/jbadip02_gen1_7681_7682.trc"	"1"	""	""	1370677	1532605	0	1532605	0	0	558544	0
0000000075F01CB8	10	"7681_7681"	"7681"	"7681"	"THREAD"	"SCMN"	"oracle"	1	"UNKNOWN"	"oracle@pc-joba.fi.unam (SCMN)"	""	"/u01/app/oracle/diag/rdbms/jbadip02/jbadip02/trace/jbadip02_scmn_7681_7681.trc"	"1"	""	""	1237901	1341877	0	1341877	0	0	11798	0
0000000075F03218	11	"7686_7687"	"7686"	"7687"	"THREAD"	"OFSD"	"oracle"	1	"UNKNOWN"	"oracle@pc-joba.fi.unam (OFSD)"	""	"/u01/app/oracle/diag/rdbms/jbadip02/jbadip02/trace/jbadip02_ofsd_7686_7687.trc"	"1"	""	""	1838805	2646717	393216	2646717	0	0	30127	0
0000000075F04778	12	"7686_7686"	"7686"	"7686"	"THREAD"	"SCMN"	"oracle"	1	"UNKNOWN"	"oracle@pc-joba.fi.unam (SCMN)"	""	"/u01/app/oracle/diag/rdbms/jbadip02/jbadip02/trace/jbadip02_scmn_7686_7686.trc"	"1"	""	""	1237901	1341877	0	1341877	0	0	12269	0
0000000075F05CD8	13	"7689"	"7689"	"7689"	"PROCESS"	"DBRM"	"oracle"	1	"UNKNOWN"	"oracle@pc-joba.fi.unam (DBRM)"	""	"/u01/app/oracle/diag/rdbms/jbadip02/jbadip02/trace/jbadip02_dbrm_7689.trc"	"1"	""	""	1711709	2056893	0	2056893	0	0	1080425	0
0000000075F07238	14	"7691"	"7691"	"7691"	"PROCESS"	"VKRM"	"oracle"	1	"UNKNOWN"	"oracle@pc-joba.fi.unam (VKRM)"	""	"/u01/app/oracle/diag/rdbms/jbadip02/jbadip02/trace/jbadip02_vkrm_7691.trc"	"1"	""	""	1369709	1532605	0	1532605	0	0	9044670	0
0000000075F08798	15	"7693"	"7693"	"7693"	"PROCESS"	"SVCB"	"oracle"	1	"UNKNOWN"	"oracle@pc-joba.fi.unam (SVCB)"	""	"/u01/app/oracle/diag/rdbms/jbadip02/jbadip02/trace/jbadip02_svcb_7693.trc"	"1"	""	""	1480309	1598141	0	1598141	0	0	166596	0
0000000075F09CF8	16	"7695"	"7695"	"7695"	"PROCESS"	"PMAN"	"oracle"	1	"UNKNOWN"	"oracle@pc-joba.fi.unam (PMAN)"	""	"/u01/app/oracle/diag/rdbms/jbadip02/jbadip02/trace/jbadip02_pman_7695.trc"	"1"	""	""	1372245	1532605	0	1532605	0	0	345780	0
0000000075F0B258	17	"7697"	"7697"	"7697"	"PROCESS"	"DIA0"	"oracle"	1	"UNKNOWN"	"oracle@pc-joba.fi.unam (DIA0)"	""	"/u01/app/oracle/diag/rdbms/jbadip02/jbadip02/trace/jbadip02_dia0_7697.trc"	"1"	""	""	3815357	3957437	0	3957437	0	0	1542882	0
